episode,total,average,min,max,std,median
43,64110664.216308594,267127.76756795245,-42437.46875,674779.1875,154794.37035320545,295091.203125
44,79550217.26757812,323374.8669413745,-33520.4140625,769634.8125,128206.208719088,309984.28125
45,53292865.267578125,224864.41041172206,-49934.0078125,629710.5,169410.211925641,265928.65625
46,61782062.71875,260683.80893987342,-37462.24609375,610560.375,156859.0544239016,291146.5625
47,72618544.61523438,300076.6306414644,-28351.134765625,904649.875,145024.42387639335,291920.71875
48,17442687.45654297,79646.97468741081,-56079.49609375,661431.3125,134987.45599537852,0.0
49,71643055.14941406,292420.63326291455,-40163.1953125,673614.0625,127388.68717355316,295965.625
50,82949554.4140625,331798.21765625,-35010.47265625,846126.0625,103211.73568334774,311715.171875
51,76244056.63085938,311200.2311463648,-40705.4296875,765346.9375,139125.63889829925,315260.5625
52,67997983.86425781,279827.0940915959,-73466.59375,702405.4375,148247.49102697687,292940.125
53,76337806.29589844,309059.94451780745,-40229.1875,828195.625,134267.71491104484,305257.5
54,62181858.87207031,260175.14172414356,-42690.3984375,814443.0,153979.75439221013,283933.71875
55,45761065.34082031,198961.1536557405,-63622.62890625,666283.1875,174879.64675768535,244607.640625
56,56769562.31689453,237529.54944307337,-48177.75,688583.6875,175980.89151521144,269812.34375
57,79729501.76757812,317647.41740070964,-34913.3828125,646859.3125,121844.2012583394,306664.53125
58,55346456.65673828,236523.3190458901,-48123.24609375,677182.25,167450.49150938724,273092.6875
59,82715592.57958984,337614.66359016264,-25557.5078125,673285.4375,122984.99251895673,336530.3125
60,82148305.35742188,327284.08508933015,-43159.25,828823.375,125024.24671846301,316078.65625
61,36601052.87109375,162671.34609375,-40417.85546875,651618.6875,173926.54095784613,133953.0625
62,77469920.88134766,312378.7132312406,-30274.5078125,677441.125,122096.16678507495,300536.65625
63,55740562.873046875,240261.04686658137,-61729.625,898280.5625,173863.6369224605,275074.6875
64,33243167.037597656,149072.4979264469,-38628.09375,971868.4375,172665.50334290453,104659.515625
65,80883492.70214844,323533.97080859373,-54492.46484375,763943.6875,123081.82895431203,304886.796875
66,45241504.650390625,197561.15567856168,-42187.1015625,701847.75,181941.24659380718,234914.203125
